season,position,tier,share,mean_pts,median_pts,min_pts,iqr_pts,top12_flag,top24_flag,top36_flag
2005,QB,1.0,0.04077603503545217,302.7799973487854,302.7799973487854,302.7799973487854,0.0,1,1,1
2005,QB,1.0833333333333333,0.04029121541514295,299.17999839782715,299.17999839782715,299.17999839782715,0.0,1,1,1
2005,QB,1.1666666666666667,0.03804219043569488,282.479998588562,282.479998588562,282.479998588562,0.0,1,1,1
2005,QB,1.25,0.03662813185856684,271.9799916148186,271.9799916148186,271.9799916148186,0.0,1,1,1
2005,QB,1.3333333333333333,0.0356261712430354,264.5399932861328,264.5399932861328,264.5399932861328,0.0,1,1,1
2005,QB,1.4166666666666667,0.033818871669893426,251.11999893188477,251.11999893188477,251.11999893188477,0.0,1,1,1
2005,QB,1.5,0.033781163566392554,250.83999967575073,250.83999967575073,250.83999967575073,0.0,1,1,1
2005,QB,1.5833333333333335,0.03286000548509643,243.99999570846558,243.99999570846558,243.99999570846558,0.0,1,1,1
2005,QB,1.6666666666666665,0.03192807531122919,237.08000421524048,237.08000421524048,237.08000421524048,0.0,1,1,1
2005,QB,1.75,0.031184684177882477,231.5599980354309,231.5599980354309,231.5599980354309,0.0,1,1,1
2005,QB,1.8333333333333335,0.030966515075822404,229.93999648094177,229.93999648094177,229.93999648094177,0.0,1,1,1
2005,QB,1.9166666666666665,0.030465535245668304,226.22000086307526,226.22000086307526,226.22000086307526,0.0,1,1,1
2005,QB,2.0,0.030268913041905553,224.75999450683594,224.75999450683594,224.75999450683594,0.0,0,1,1
2005,QB,2.083333333333333,0.030188109825367924,224.15999507904053,224.15999507904053,224.15999507904053,0.0,0,1,1
2005,QB,2.166666666666667,0.028205735203627277,209.4399914741516,209.4399914741516,209.4399914741516,0.0,0,1,1
2005,QB,2.25,0.02630685809787372,195.3399936556816,195.3399936556816,195.3399936556816,0.0,0,1,1
2005,QB,2.333333333333333,0.025369540312439137,188.3799967765808,188.3799967765808,188.3799967765808,0.0,0,1,1
2005,QB,2.416666666666667,0.02450225149168492,181.93999576568604,181.93999576568604,181.93999576568604,0.0,0,1,1
2005,QB,2.5,0.023880066628020138,177.31999945640564,177.31999945640564,177.31999945640564,0.0,0,1,1
2005,QB,2.583333333333333,0.02232594921447065,165.7799940109253,165.7799940109253,165.7799940109253,0.0,0,1,1
2005,QB,2.666666666666667,0.0221374089779143,164.3799998164177,164.3799998164177,164.3799998164177,0.0,0,1,1
2005,QB,2.75,0.019435885512257424,144.31999969482422,144.31999969482422,144.31999969482422,0.0,0,1,1
2005,QB,2.833333333333333,0.01897261270997467,140.87999534606934,140.87999534606934,140.87999534606934,0.0,0,1,1
2005,QB,2.916666666666667,0.017132991432809167,127.2199981212616,127.2199981212616,127.2199981212616,0.0,0,1,1
2005,QB,3.0,0.01648925840256747,122.43999719619751,122.43999719619751,122.43999719619751,0.0,0,0,1
2005,QB,3.0833333333333335,0.016389600909520994,121.69999647140503,121.69999647140503,121.69999647140503,0.0,0,0,1
2005,QB,3.1666666666666665,0.016354586310788063,121.43999767303467,121.43999767303467,121.43999767303467,0.0,0,0,1
2005,QB,3.25,0.015428041733689564,114.55999660491943,114.55999660491943,114.55999660491943,0.0,0,0,1
2005,QB,3.3333333333333335,0.014703505551126924,109.1799967288971,109.1799967288971,109.1799967288971,0.0,0,0,1
2005,QB,3.4166666666666665,0.013642289460199214,101.30000042915344,101.30000042915344,101.30000042915344,0.0,0,0,1
2005,QB,3.5,0.013084746491475766,97.15999862551689,97.15999862551689,97.15999862551689,0.0,0,0,1
2005,QB,3.5833333333333335,0.013079359774928521,97.11999988555908,97.11999988555908,97.11999988555908,0.0,0,0,1
2005,QB,3.6666666666666665,0.012721131590617487,94.45999803394079,94.45999803394079,94.45999803394079,0.0,0,0,1
2005,QB,3.75,0.012613394110044704,93.65999984741211,93.65999984741211,93.65999984741211,0.0,0,0,1
2005,QB,3.8333333333333335,0.012093559248835673,89.79999732971191,89.79999732971191,89.79999732971191,0.0,0,0,1
2005,QB,3.9166666666666665,0.011692236494319575,86.81999933719635,86.81999933719635,86.81999933719635,0.0,0,0,1
2005,QB,4.0,0.011323234544793366,84.07999753952026,84.07999753952026,84.07999753952026,0.0,0,0,0
2005,QB,4.083333333333334,0.008974552586032324,66.64000082015991,66.64000082015991,66.64000082015991,0.0,0,0,0
2005,QB,4.166666666666666,0.008845267222840793,65.68000012636185,65.68000012636185,65.68000012636185,0.0,0,0,0
2005,QB,4.25,0.007862160514572242,58.3800003528595,58.3800003528595,58.3800003528595,0.0,0,0,0
2005,QB,4.333333333333334,0.007606283309011297,56.47999954223633,56.47999954223633,56.47999954223633,0.0,0,0,0
2005,QB,4.416666666666666,0.007350406135558695,54.57999897003174,54.57999897003174,54.57999897003174,0.0,0,0,0
2005,QB,4.5,0.006518132194485419,48.39999884366989,48.39999884366989,48.39999884366989,0.0,0,0,0
2005,QB,4.583333333333334,0.005451529005723877,40.4800009727478,40.4800009727478,40.4800009727478,0.0,0,0,0
2005,QB,4.666666666666666,0.004778168000985006,35.47999930381775,35.47999930381775,35.47999930381775,0.0,0,0,0
2005,QB,4.75,0.004753926995888286,35.2999991774559,35.2999991774559,35.2999991774559,0.0,0,0,0
2005,QB,4.833333333333334,0.004441487835753182,32.9800009727478,32.9800009727478,32.9800009727478,0.0,0,0,0
2005,QB,4.916666666666666,0.004209851514882665,31.25999939441681,31.25999939441681,31.25999939441681,0.0,0,0,0
2005,QB,5.0,0.0038219955778227084,28.379998445510864,28.379998445510864,28.379998445510864,0.0,0,0,0
